wbsCode,wbsName,wbsType,wbsDescription,budget
1,Test Project 1 WBS,SUMMARY,"Project root Test Project 1 WBS",735854
1.1,Engineering Deep Branch,WBS,"WBS node Engineering Deep Branch",331365
1.1.1,Design Phase A,WBS,"WBS node Design Phase A",215337
1.1.1.1,Concept Design,WBS,"WBS node Concept Design",126065
1.1.1.1.1,Detail Design,WBS,"WBS node Detail Design",36713
1.1.1.1.1.1,Mechanical Package Group,WBS,"WBS node Mechanical Package Group",13230
1.1.1.1.1.1.1,Piping Drawings,WorkPackage,"Work package for Piping Drawings",4200
1.1.1.1.1.1.2,Equipment Layout,WorkPackage,"Work package for Equipment Layout",4300
1.1.1.1.1.1.3,Stress Analysis,WorkPackage,"Work package for Stress Analysis",4100
1.1.1.1.1.2,Electrical Package Group,WBS,"WBS node Electrical Package Group",11340
1.1.1.1.1.2.1,SLD Drawings,WorkPackage,"Work package for SLD Drawings",3600
1.1.1.1.1.2.2,Cable Schedules,WorkPackage,"Work package for Cable Schedules",3700
1.1.1.1.1.2.3,Load Studies,WorkPackage,"Work package for Load Studies",3500
1.1.1.1.1.3,Instrumentation Package Group,WBS,"WBS node Instrumentation Package Group",10395
1.1.1.1.1.3.1,Loop Diagrams,WorkPackage,"Work package for Loop Diagrams",3400
1.1.1.1.1.3.2,IO Lists,WorkPackage,"Work package for IO Lists",3300
1.1.1.1.1.3.3,Hook-ups,WorkPackage,"Work package for Hook-ups",3200
1.1.1.1.2,Civil Concept,WBS,"WBS node Civil Concept",48620
1.1.1.1.2.1,Foundation Design,WBS,"WBS node Foundation Design",16380
1.1.1.1.2.1.1,Footings,WorkPackage,"Work package for Footings",5100
1.1.1.1.2.1.2,Piles,WorkPackage,"Work package for Piles",5200
1.1.1.1.2.1.3,Retaining Walls,WorkPackage,"Work package for Retaining Walls",5300
1.1.1.1.2.2,Structural Design,WBS,"WBS node Structural Design",15435
1.1.1.1.2.2.1,Steel Frame,WorkPackage,"Work package for Steel Frame",4800
1.1.1.1.2.2.2,Concrete Frame,WorkPackage,"Work package for Concrete Frame",4900
1.1.1.1.2.2.3,Roof Structure,WorkPackage,"Work package for Roof Structure",5000
1.1.1.1.2.3,Architectural Design,WBS,"WBS node Architectural Design",14490
1.1.1.1.2.3.1,Facades,WorkPackage,"Work package for Facades",4500
1.1.1.1.2.3.2,Interiors,WorkPackage,"Work package for Interiors",4600
1.1.1.1.2.3.3,Landscaping,WorkPackage,"Work package for Landscaping",4700
1.1.1.1.3,Process Concept,WBS,"WBS node Process Concept",34729
1.1.1.1.3.1,PFD Development,WBS,"WBS node PFD Development",10080
1.1.1.1.3.1.1,Block Flow,WorkPackage,"Work package for Block Flow",3100
1.1.1.1.3.1.2,Heat Balance,WorkPackage,"Work package for Heat Balance",3200
1.1.1.1.3.1.3,Mass Balance,WorkPackage,"Work package for Mass Balance",3300
1.1.1.1.3.2,P&ID Development,WBS,"WBS node P&ID Development",11025
1.1.1.1.3.2.1,Utility P&IDs,WorkPackage,"Work package for Utility P&IDs",3400
1.1.1.1.3.2.2,Process P&IDs,WorkPackage,"Work package for Process P&IDs",3500
1.1.1.1.3.2.3,Safety P&IDs,WorkPackage,"Work package for Safety P&IDs",3600
1.1.1.1.3.3,HAZOP Support,WBS,"WBS node HAZOP Support",11970
1.1.1.1.3.3.1,Workshop Prep,WorkPackage,"Work package for Workshop Prep",3700
1.1.1.1.3.3.2,Action Tracking,WorkPackage,"Work package for Action Tracking",3800
1.1.1.1.3.3.3,Close-out,WorkPackage,"Work package for Close-out",3900
1.1.1.2,Design Phase B,WBS,"WBS node Design Phase B",58543
1.1.1.2.1,Procurement Engineering,WBS,"WBS node Procurement Engineering",17640
